State,1990,1995,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,
Alabama,6.1,6.0,5.7,5.5,5.4,5.4,5.2,4.9,4.9,4.9,4.5,4.3,4.4,4.4,4.3,3.6,3.7,3.8,3.9,3.8,3.7,3.7,3.6,3.7,,,,,,
Alaska,5.5,5.0,5.0,3.9,4.3,4.6,3.9,4.3,4.3,4.2,4.3,4.4,4.4,4.7,4.8,4.5,4.5,4.0,4.1,3.9,3.6,3.7,3.6,3.2,,,,,,
Arizona,6.9,6.2,4.6,4.6,4.0,4.8,4.4,4.3,4.2,4.0,4.0,3.8,3.6,3.5,3.9,4.3,3.9,3.9,3.6,3.4,3.5,3.0,2.9,2.9,,,,,,
Arkansas,6.9,6.3,6.2,6.4,6.2,6.2,6.0,6.1,6.0,5.8,5.9,5.5,5.7,5.7,5.3,5.3,5.0,4.8,4.8,3.9,3.7,4.1,4.0,3.6,,,,,,
California,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
Colorado,5.5,NA,4.8,4.7,4.7,4.7,4.3,4.4,4.4,4.5,4.4,4.3,4.3,4.3,4.4,4.3,4.1,3.9,3.7,3.6,3.2,3.3,3.3,2.9,,,,,,
Connecticut,3.2,2.9,3.0,3.3,3.2,3.3,3.2,3.1,3.0,3.1,3.2,3.4,3.0,2.9,3.1,2.7,2.8,2.6,3.1,3.2,2.9,2.9,2.7,1.6,,,,,,
Delaware,4.4,5.0,4.5,3.9,3.9,3.5,3.9,3.7,3.8,3.8,3.7,3.5,3.6,3.5,3.6,3.5,3.4,3.3,3.1,3.1,3.0,2.8,2.9,2.3,,,,,,
District of Columbia,4.5,3.2,3.6,3.2,2.9,2.4,2.0,1.8,2.0,2.1,1.7,2.7,2.7,2.8,2.9,2.9,2.8,2.6,2.8,2.7,2.5,2.5,2.4,2.1,,,,,,
Florida,6.3,5.5,5.1,5.1,5.2,5.1,5.0,4.7,4.6,4.7,4.6,4.3,4.2,4.4,4.5,4.2,4.1,4.0,4.0,3.9,3.6,3.6,3.5,3.0,,,,,,
Georgia,5.5,5.1,4.1,3.3,3.1,2.5,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2.5,2.3,1.9,,,,,,
Hawaii,4.6,4.6,3.8,3.9,4.0,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
Idaho,6.5,5.8,5.4,5.5,5.3,5.3,5.2,5.0,5.0,5.0,4.9,4.8,5.0,5.2,4.9,4.7,4.5,4.2,4.1,4.0,3.9,3.8,3.9,3.4,,,,,,
Illinois,3.8,3.2,3.3,3.2,3.2,2.9,2.8,2.6,2.6,2.5,2.6,2.5,2.5,2.6,2.6,2.4,2.3,2.2,2.2,2.2,1.9,1.5,1.3,1.6,,,,,,
Indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
Iowa,3.9,3.7,3.3,3.3,3.3,3.1,2.8,2.8,2.7,2.7,2.5,2.6,2.4,2.4,2.4,2.2,1.9,1.5,1.2,1.3,2.0,2.2,2.3,2.1,,,,,,
Kansas,5.0,4.1,3.4,3.6,3.4,3.6,3.3,3.3,3.1,3.1,3.4,3.5,3.6,3.7,3.9,3.4,3.0,3.0,2.8,2.7,2.4,2.3,2.3,1.8,,,,,,
Kentucky,5.8,5.9,5.5,5.1,5.1,5.2,5.0,4.9,4.6,5.0,4.6,4.6,4.6,4.5,4.4,4.1,4.2,3.8,3.7,3.8,3.7,3.5,3.4,3.1,,,,,,
Louisiana,NA,NA,NA,NA,NA,3.3,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.3,2.8,2.0,1.9,1.7,2.4,1.4,,,,,,
